,id,reading_time,flesch_reading_score,dale_chall_readability_score,total_paragraphs,avg_sentences_per_para,len_of_longest_paragraph,total_sentences,avg_words_per_sentence,len_of_longest_sentence,total_words,compulsive_hedgers,intensifiers,and_frequency,vague_words_count
150,0804.1768v1,14.435,62.11,6.4,79,2.99,53,236,12.23,56,2887,2,5,2.11 %,24
151,1305.4659v1,11.525,46.81,7.0,32,7.25,111,232,9.94,46,2305,4,3,2.99 %,19
152,1305.3349v1,281.535,68.03,1.7,1831,2.63,84,4816,11.69,149,56307,190,3,1.94 %,71
153,0804.2600v3,30.62,62.92,6.2,154,3.49,44,538,11.38,55,6124,12,2,1.68 %,59
154,0804.2438v2,12.84,58.32,6.7,80,3.35,41,268,9.58,54,2568,8,0,3.97 %,15
155,1305.2914v3,84.265,76.9,5.9,1493,1.58,28,2354,7.16,83,16853,42,20,2.24 %,128
156,1305.1839v1,39.235,62.72,5.8,223,2.87,40,641,12.24,65,7847,54,2,1.8 %,53
157,1305.5659v1,8.89,66.67,6.4,33,3.88,22,128,13.89,52,1778,4,2,2.08 %,8
158,1305.3951v3,12.955,80.11,5.3,26,8.23,32,214,12.11,61,2591,3,0,2.12 %,7
159,1305.4402v3,17.365,70.57,6.3,196,2.22,68,435,7.98,66,3473,4,0,2.94 %,12
160,1305.2349v1,29.785,60.85,6.2,110,5.15,57,567,10.51,61,5957,8,12,1.96 %,55
161,0804.3645v3,31.125,63.77,2.3,228,2.48,62,566,11.0,63,6225,18,3,2.51 %,8
162,1305.2798v1,21.26,62.92,6.4,163,2.52,83,411,10.35,82,4252,22,5,1.95 %,15
163,1305.5288v1,36.275,57.81,6.4,469,2.33,98,1092,6.64,46,7255,17,7,2.72 %,35
164,0804.0768v1,41.695,70.47,5.7,671,1.93,93,1294,6.44,52,8339,34,1,3.01 %,64
165,0804.3438v2,41.01,74.76,2.3,689,1.51,32,1039,7.89,77,8202,10,2,1.71 %,33
166,1305.0839v1,45.435,78.62,1.8,301,2.57,52,773,11.76,79,9087,17,1,2.81 %,31
167,1305.6731v3,63.55,64.14,6.1,797,2.06,97,1641,7.75,109,12710,32,12,2.55 %,67
168,0804.1576v3,15.825,53.58,7.0,294,1.73,48,508,6.23,58,3165,3,0,2.27 %,28
169,1305.6509v2,60.48,57.1,5.8,134,6.31,36,846,14.3,59,12096,39,27,1.99 %,35
170,1305.0883v3,32.56,55.88,6.4,69,5.67,39,391,16.65,55,6512,23,8,2.66 %,87
